Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
533,3.10E+14,Streamwood High School,3.10E+14,SD U-46,Streamwood,Kane,HIGH SCHOOL,Non Chicago School,26.6,48.6
534,3.10E+14,Larkin High School,3.10E+14,SD U-46,Elgin,Kane,HIGH SCHOOL,Non Chicago School,32.9,50.7
535,3.10E+14,Elgin High School,3.10E+14,SD U-46,Elgin,Kane,HIGH SCHOOL,Non Chicago School,41,42.5
536,3.51E+14,Seneca High School,3.51E+14,Seneca Twp HSD 160,Seneca,La Salle,HIGH SCHOOL,Non Chicago School,11.2,56.6
537,3.51E+14,Serena High School,3.51E+14,Serena CUSD 2,Serena,La Salle,HIGH SCHOOL,Non Chicago School,3.5,56.3
538,2.10E+14,Sesser-Valier High School,2.10E+14,Sesser-Valier CUSD 196,Sesser,Franklin,HIGH SCHOOL,Non Chicago School,41.5,53.9
539,2.09E+13,Shawnee High School,2.09E+13,Shawnee CUSD 84,Wolf Lake,Union,HIGH SCHOOL,Non Chicago School,59.9,54.1
540,1.11E+14,Shelbyville High School,1.11E+14,Shelbyville CUSD 4,Shelbyville,Shelby,HIGH SCHOOL,Non Chicago School,25.8,44.1
541,4.91E+14,Sherrard High School,4.91E+14,Sherrard CUSD 200,Sherrard,Rock Island,HIGH SCHOOL,Non Chicago School,15.1,58.3
542,1.10E+14,Shiloh High School,1.10E+14,Shiloh CUSD 1,Hume,Edgar,HIGH SCHOOL,Non Chicago School,41.9,51.8
543,1.60E+14,Somonauk High School,1.60E+14,Somonauk CUSD 432,Somonauk,Dekalb,HIGH SCHOOL,Non Chicago School,3.5,55.6
544,1.31E+14,South Central High School,1.31E+14,South Central CUD 401,Farina,Marion,HIGH SCHOOL,Non Chicago School,39.4,46.6
545,1.00E+14,South Fork Jr Sr High School,1.00E+14,South Fork SD 14,Kincaid,Christian,HIGH SCHOOL,Non Chicago School,47.3,36.7
546,2.60E+14,Southeastern Jr/Sr High School,2.60E+14,Southeastern CUSD 337,Augusta,Hancock,HIGH SCHOOL,Non Chicago School,33.9,37.6
547,2.70E+14,SOUTHERN HIGH SCHOOL,2.70E+14,SOUTHERN C U SCHOOL DIST 120,STRONGHURST,HENDERSON,HIGH SCHOOL,Non Chicago School,20.9,58.3
548,4.01E+14,Southwestern High School,4.01E+14,Southwestern CUSD 9,Piasa,Macoupin,HIGH SCHOOL,Non Chicago School,12.4,48.1
549,4.51E+14,Sparta High School,4.51E+14,Sparta CUSD 140,Sparta,Randolph,HIGH SCHOOL,Non Chicago School,34.8,45.3
550,2.20E+14,Spoon River Valley Sr High Sch,2.20E+14,Spoon River Valley CUSD 4,London Mills,Fulton,HIGH SCHOOL,Non Chicago School,21.7,58.3
551,5.11E+14,Springfield High School,5.11E+14,Springfield SD 186,Springfield,Sangamon,HIGH SCHOOL,Non Chicago School,26.7,60.3
552,5.11E+14,Springfield Southeast High Sch,5.11E+14,Springfield SD 186,Springfield,Sangamon,HIGH SCHOOL,Non Chicago School,44.4,44.2
553,5.11E+14,Lanphier High School,5.11E+14,Springfield SD 186,Springfield,Sangamon,HIGH SCHOOL,Non Chicago School,51.6,39.3
554,3.20E+14,St Anne Comm High School,3.20E+14,St Anne CHSD 302,Saint Anne,Kankakee,HIGH SCHOOL,Non Chicago School,67,22
555,3.10E+14,St Charles North High School,3.10E+14,St Charles CUSD 303,St Charles,Kane,HIGH SCHOOL,Non Chicago School,1.2,70.5
556,3.10E+14,St Charles East High School,3.10E+14,St Charles CUSD 303,St Charles,Kane,HIGH SCHOOL,Non Chicago School,6.6,65.2
557,3.03E+13,St Elmo Sr High School,3.03E+13,St Elmo CUSD 202,Saint Elmo,Fayette,HIGH SCHOOL,Non Chicago School,36.5,51.7
558,9.01E+13,St Joseph-Ogden High School,9.01E+13,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,Non Chicago School,3.5,66.9
559,2.81E+14,Stark County High School,2.81E+14,Stark County CUSD 100,Toulon,Stark,HIGH SCHOOL,Non Chicago School,18.2,52.8
560,4.01E+14,Staunton High School,4.01E+14,Staunton CUSD 6,Staunton,Macoupin,HIGH SCHOOL,Non Chicago School,7.4,55.4
