Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
315,1.50E+14,Tonti Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96.6,45.3
316,1.50E+14,Cooper Elem Dual Language Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.1,46.1
317,1.50E+14,Dett Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.5,26.5
318,1.50E+14,Cather Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.6,23.3
319,1.50E+14,Fulton Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,98.4,19.1
320,1.50E+14,Beethoven Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,98.8,36.2
321,1.50E+14,Johnson Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,99.3,29.5
322,1.50E+14,Whitney Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94,45.8
323,1.50E+14,Taylor Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96,58.8
324,1.50E+14,Plamondon Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,100,55.1
325,1.50E+14,JacksonM Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,82.6,21.3
326,1.50E+14,Sandoval Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,87.4,52.6
327,1.50E+14,HughesC Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,89.2,42.7
328,1.50E+14,Young Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,93.7,28.3
329,1.50E+14,Pilsen Elem Community Academy,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,95.8,51.4
330,1.50E+14,Mozart Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,96.7,42.8
331,1.50E+14,Little Village Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,97.3,54.7
332,1.50E+14,Chavez Elem Multicultural Acad Ct,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,99.2,46
333,1.50E+14,Westcott Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94.8,23.8
